@relation marketing_training_predicted

@attribute custAge numeric
@attribute profession {admin.,blue-collar,technician,management,services,unemployed,housemaid,unknown,self-employed,retired,student,entrepreneur}
@attribute marital {single,married,divorced,unknown}
@attribute schooling {university.degree,high.school,basic.4y,basic.9y,professional.course,basic.6y,unknown,illiterate}
@attribute default {unknown,no,yes}
@attribute housing {no,yes,unknown}
@attribute loan {no,yes,unknown}
@attribute contact {cellular,telephone}
@attribute month {nov,jul,may,aug,apr,jun,mar,oct,sep,dec}
@attribute day_of_week {mon,wed,tue,fri,thu}
@attribute campaign numeric
@attribute pdays numeric
@attribute previous numeric
@attribute poutcome {nonexistent,failure,success}
@attribute emp.var.rate numeric
@attribute cons.price.idx numeric
@attribute cons.conf.idx numeric
@attribute euribor3m numeric
@attribute nr.employed numeric
@attribute pmonths numeric
@attribute pastEmail numeric
@attribute 'prediction margin' numeric
@attribute 'predicted responded' {no,yes}
@attribute responded {no,yes}

@data
32,services,single,?,no,no,no,telephone,may,?,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,0.93973,no,no
32,services,single,basic.9y,no,no,yes,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,999,0,0.823331,no,no
?,entrepreneur,single,high.school,no,no,no,telephone,may,?,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,999,0,0.903721,no,no
39,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,0.921323,no,no
?,self-employed,married,high.school,no,no,no,telephone,may,mon,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,0.946213,no,no
48,entrepreneur,married,high.school,no,no,no,cellular,aug,wed,5,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,0.894708,no,no
42,management,married,university.degree,no,no,no,telephone,jun,wed,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,999,0,0.874012,no,no
35,admin.,married,?,no,no,no,cellular,jul,thu,7,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,999,0,0.898406,no,no
24,technician,single,?,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,0.932755,no,no
70,retired,married,?,no,yes,no,cellular,mar,mon,6,999,1,failure,-1.8,92.843,-50,1.629,5099.1,999,1,0.423646,no,no
43,services,married,?,no,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,999,0,0.931095,no,no
35,blue-collar,married,basic.4y,unknown,yes,no,cellular,may,thu,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,999,2,0.912198,no,no
?,blue-collar,single,?,no,yes,no,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,0.837023,no,no
39,admin.,single,high.school,unknown,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,0.936942,no,no
28,services,married,high.school,no,yes,no,telephone,jul,thu,4,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,999,0,0.962158,no,no
39,management,married,university.degree,no,no,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,999,0,0.893877,no,no
45,technician,divorced,high.school,no,yes,no,cellular,may,thu,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,999,1,0.878903,no,no
31,technician,divorced,?,no,unknown,unknown,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,0.908957,no,no
50,admin.,married,university.degree,no,no,no,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,0.848451,no,no
55,technician,divorced,professional.course,no,no,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,0.909294,no,no
33,blue-collar,single,basic.4y,no,yes,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,999,0,0.757708,no,no
36,admin.,married,university.degree,no,no,no,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,0.899041,no,no
52,blue-collar,married,?,no,no,no,cellular,aug,tue,6,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999,0,0.91298,no,no
26,admin.,single,?,no,no,yes,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,0.86619,no,no
44,technician,single,unknown,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,0.932619,no,no
40,admin.,married,?,unknown,yes,yes,telephone,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,999,0,0.949246,no,no
36,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,0.921858,no,no
40,technician,married,professional.course,no,no,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999,0,0.921527,no,no
65,admin.,divorced,university.degree,no,no,no,cellular,nov,fri,2,999,0,nonexistent,-3.4,92.649,-30.1,0.718,5017.5,999,0,0.279241,no,no
?,admin.,divorced,high.school,no,no,no,cellular,nov,mon,3,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,999,0,0.9106,no,no
40,admin.,married,basic.9y,no,yes,yes,cellular,may,thu,2,10,1,success,-1.8,92.893,-46.2,1.327,5099.1,0.333333,1,0.31241,no,no
47,blue-collar,married,basic.4y,unknown,yes,yes,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999,0,0.934199,no,no
?,admin.,married,?,unknown,yes,no,telephone,nov,fri,8,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,999,0,0.969966,no,no
52,blue-collar,married,basic.6y,no,yes,no,telephone,may,wed,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,999,0,0.877908,no,no
?,blue-collar,married,basic.6y,unknown,yes,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999,0,0.875902,no,no
?,services,single,?,no,no,yes,telephone,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,999,0,0.948125,no,no
48,blue-collar,married,basic.6y,no,yes,no,telephone,may,thu,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,999,0,0.89569,no,no
31,management,single,?,unknown,no,no,telephone,jun,fri,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,999,0,0.902255,no,no
51,admin.,divorced,?,no,no,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,999,0,0.886685,no,no
33,technician,married,professional.course,no,yes,no,telephone,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,0.960406,no,no
?,student,single,basic.4y,no,unknown,unknown,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,0.846103,no,no
39,self-employed,married,high.school,no,yes,no,cellular,may,mon,6,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,999,0,0.821503,no,no
?,technician,single,university.degree,no,no,no,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0,0.52681,no,no
?,management,married,?,no,yes,no,cellular,jun,wed,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,999,0,0.20697,no,no
36,blue-collar,married,?,no,yes,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,999,0,0.838987,no,no
20,blue-collar,married,basic.4y,no,no,yes,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,0.914061,no,no
?,blue-collar,married,basic.9y,no,yes,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,999,0,0.730696,no,no
30,self-employed,single,university.degree,no,no,no,cellular,jun,?,3,999,1,failure,-2.9,92.963,-40.8,1.262,5076.2,999,0,0.658066,no,no
?,blue-collar,married,?,no,yes,no,telephone,jul,?,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,0.935471,no,no
?,blue-collar,divorced,basic.4y,unknown,no,no,telephone,jul,?,1,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,999,0,0.969238,no,no
35,technician,married,?,no,yes,no,cellular,nov,mon,2,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,999,0,0.919372,no,no
43,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,999,0,0.948739,no,no
41,blue-collar,married,?,unknown,no,no,telephone,jun,?,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,999,0,0.908937,no,no
57,housemaid,married,unknown,no,no,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999,0,0.937925,no,no
24,student,single,university.degree,no,yes,no,cellular,may,thu,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,999,3,0.737294,no,no
36,blue-collar,married,?,no,no,no,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,999,0,0.87091,no,no
29,technician,married,university.degree,no,yes,no,cellular,apr,?,3,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,999,0,0.620133,no,no
30,admin.,single,?,no,yes,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,0.880037,no,no
49,admin.,married,university.degree,no,no,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,0.891255,no,no
49,blue-collar,single,?,unknown,yes,no,cellular,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,999,1,0.843821,no,no
35,admin.,single,?,no,yes,no,cellular,jun,wed,1,999,1,failure,-2.9,92.963,-40.8,1.26,5076.2,999,6,0.518501,no,no
?,services,married,?,no,yes,no,cellular,may,mon,3,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,999,0,0.813733,no,no
47,self-employed,married,basic.9y,unknown,yes,no,cellular,nov,fri,1,999,1,failure,-0.1,93.2,-42,4.021,5195.8,999,2,0.965417,no,no
21,admin.,single,high.school,no,no,yes,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,999,0,0.763092,no,no
31,admin.,married,university.degree,no,no,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.479,5099.1,999,0,0.457261,no,no
35,student,single,university.degree,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,0.887588,no,no
35,admin.,single,basic.4y,unknown,unknown,unknown,telephone,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,999,0,0.943594,no,no
26,blue-collar,single,high.school,unknown,no,no,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999,0,0.908765,no,no
35,housemaid,married,basic.4y,no,yes,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999,0,0.967226,no,no
?,technician,single,?,no,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,0.925121,no,no
49,management,married,?,unknown,yes,no,telephone,jul,mon,12,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,0.974204,no,no
47,blue-collar,married,basic.4y,no,no,no,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,999,0,0.906768,no,no
?,blue-collar,married,basic.9y,unknown,yes,yes,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999,0,0.930755,no,no
45,services,married,high.school,no,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,0.93906,no,no
41,admin.,married,university.degree,no,yes,no,cellular,aug,mon,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999,0,0.91723,no,no
21,unemployed,married,?,no,yes,yes,cellular,jul,thu,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,0.911088,no,no
24,technician,divorced,?,no,no,no,cellular,apr,fri,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,999,3,0.756095,no,no
38,student,single,unknown,no,yes,yes,cellular,aug,tue,2,999,0,nonexistent,-2.9,92.201,-31.4,0.838,5076.2,999,0,0.027229,no,no
44,blue-collar,married,?,no,yes,no,telephone,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,999,0,0.836899,no,no
61,retired,married,?,no,yes,no,cellular,apr,wed,2,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,999,0,0.297581,no,no
48,blue-collar,married,basic.6y,no,no,no,telephone,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,999,0,0.817855,no,no
56,admin.,married,high.school,no,yes,no,telephone,jun,wed,11,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,999,0,0.906455,no,no
?,housemaid,married,basic.4y,no,no,no,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,999,0,0.769203,no,no
